Reg,St,Site Name                                                                ,,Site ID,EPA ID,Address,City,Zip,County,,,FF?,Latitude,Longitude,Final Date,,
_01_,CT,BARKHAMSTED-NEW HARTFORD LANDFILL,,_0100255_,CTD980732333,ROUTE 44 ,BARKHAMSTED,06063,LITCHFIELD,,,N,_+41.980550_,_-073.047220_ ,10/04/89,,
_01_,CT,BEACON HEIGHTS LANDFILL,,_0100180_,CTD072122062,BLACKBERRY HILL ROAD ,BEACON FALLS,06403,NEW HAVEN,,,N,_+41.431950_,_-073.035280_ ,09/08/83,,
_01_,CT,DURHAM MEADOWS,,_0100108_,CTD001452093,124 MAIN ST ,DURHAM,06422,MIDDLESEX,,,N,_+41.481110_,_-072.681380_ ,10/04/89,,
_01_,CT,GALLUP'S QUARRY,,_0100201_,CTD108960972,ROUTE 12 ,PLAINFIELD,06374,WINDHAM,,,N,_+41.665280_,_-071.924160_ ,10/04/89,,
_01_,CT,KELLOGG-DEERING WELL FIELD,,_0100252_,CTD980670814,NORWALK WATER DEPARTMENT ,NORWALK,06856,FAIRFIELD,,,N,_+41.130550_,_-073.431950_ ,09/21/84,,
_01_,CT,"LAUREL PARK, INC.",,_0100232_,CTD980521165,HUNTERS MTN RD ,NAUGATUCK BOROUGH,06770,NEW HAVEN,,,N,_+41.476930_,_-073.071660_ ,09/08/83,,
_01_,CT,LINEMASTER SWITCH CORP.,,_0100041_,CTD001153923,29 PLAINE HILL ROAD ,WOODSTOCK,06281,WINDHAM,,,N,_+41.940560_,_-071.966930_ ,02/21/90,,
_01_,CT,NEW LONDON SUBMARINE BASE,,_0100261_,CTD980906515,ROUTE 12 CRYSTAL LAKE RD ,NEW LONDON,06349,NEW LONDON,,,Y,_+41.400130_,_-072.087080_ ,08/30/90,,
_01_,CT,OLD SOUTHINGTON LANDFILL,,_0100251_,CTD980670806,OLD TURNPIKE RD ,SOUTHINGTON,06487,HARTFORD,,,N,_+41.579160_,_-072.881930_ ,09/21/84,,
_01_,CT,PRECISION PLATING CORP.,,_0100156_,CTD051316313,1050 HARTFORD TURNPIKE ROAD ,VERNON,06066,TOLLAND,,,N,_+41.849750_,_-072.447910_ ,10/04/89,,
_01_,CT,"RAYMARK INDUSTRIES, INC.",,_0100094_,CTD001186618,75 EAST MAIN STREET ,STRATFORD,06497,FAIRFIELD,,,N,_+41.201270_,_-073.117220_ ,04/25/95,,
_01_,CT,SCOVILL INDUSTRIAL LANDFILL,,_0102953_,CT0002265551,STORE AVENUE ,WATERBURY,06705,NEW HAVEN,,,N,_+41.550380_,_-073.010630_ ,07/27/00,,
_01_,CT,SOLVENTS RECOVERY SERVICE OF NEW ENGLAND,,_0100124_,CTD009717604,LAZY LANE ,SOUTHINGTON,06489,HARTFORD,,,N,_+41.619600_,_-072.878000_ ,09/08/83,,
_01_,CT,YAWORSKI WASTE LAGOON,,_0100125_,CTD009774969,PACKER ROAD ,CANTERBURY,06331,WINDHAM,,,N,_+41.669450_,_-071.964160_ ,09/08/83,,
_01_,MA,ATLAS TACK CORP.,,_0100376_,MAD001026319,PLEASANT ST ,FAIRHAVEN,02719,BRISTOL,,,N,_+41.635560_,_-070.894450_ ,02/21/90,,
_01_,MA,BAIRD & MCGUIRE,,_0100392_,MAD001041987,775 SOUTH ST ,HOLBROOK,02343,NORFOLK,,,N,_+42.149710_,_-071.028610_ ,09/08/83,,
_01_,MA,BJAT LLC,,_0106144_,MAN000106144,300 FISHER STREET ,FRANKLIN,02038,NORFOLK,,,N,_+42.074417_,_-71.410806_ ,09/30/15,,
_01_,MA,BLACKBURN & UNION PRIVILEGES,,_0101713_,MAD982191363,SOUTH ST. ,WALPOLE,02081,NORFOLK,,,N,_+42.138740_,_-071.251660_ ,05/31/94,,
_01_,MA,CHARLES GEORGE RECLAMATION TRUST LANDFILL,,_0100464_,MAD003809266,CORNER DUNSTABLE & CUMMINGS RD ,TYNGSBOROUGH,01879,MIDDLESEX,,,N,_+42.669450_,_-071.443330_ ,09/08/83,,
_01_,MA,CREESE & COOK TANNERY (FORMER),,_0100380_,MAD001031574,55 CLINTON AVENUE ,DANVERS,01923,ESSEX,,,N,_+42.553056_,_-070.926667_ ,05/24/13,,
_01_,MA,FORT DEVENS,,_0100966_,MA7210025154,BUENA VISTA ST ,FORT DEVENS,01433,,,,Y,_+42.536110_,_-071.596110_ ,11/21/89,,
_01_,MA,GROVELAND WELLS,,_0100750_,MAD980732317,JOHNSON CREEK WATERSHED ,GROVELAND,01834,ESSEX,,,N,_+42.753330_,_-071.038880_ ,09/08/83,,
_01_,MA,HANSCOM FIELD/HANSCOM AIR FORCE BASE,,_0100967_,MA8570024424,HARTWELL AVENUE ,BEDFORD,01730,MIDDLESEX,,,Y,_+42.470660_,_-071.289440_ ,05/31/94,,
_01_,MA,HATHEWAY & PATTERSON,,_0102724_,MAD001060805,15 COUNTY ROAD ,MANSFIELD,02048,BRISTOL,,,N,_+42.038190_,_-071.222500_ ,09/05/02,,
_01_,MA,HAVERHILL MUNICIPAL LANDFILL,,_0100717_,MAD980523336,OLD GROVELAND RD ,HAVERHILL,01830,ESSEX,,,N,_+42.753880_,_-071.046660_ ,06/10/86,,
_01_,MA,HOCOMONCO POND,,_0100751_,MAD980732341,FISHER ST ,WESTBOROUGH,01581,WORCESTER,,,N,_+42.272780_,_-071.650830_ ,09/08/83,,
_01_,MA,INDUSTRI-PLEX,,_0100580_,MAD076580950,COMMERCE & ATLANTIC ,WOBURN,01801,MIDDLESEX,,,N,_+42.516660_,_-071.141660_ ,09/08/83,,
_01_,MA,IRON HORSE PARK,,_0100524_,MAD051787323,HIGH ST ,BILLERICA,01862,MIDDLESEX,,,N,_+42.583330_,_-071.265260_ ,09/21/84,,
_01_,MA,"NATICK LABORATORY ARMY RESEARCH, DEVELOPMENT, AND ENGINEERING CENTER",,_0101831_,MA1210020631,100 KANSAS STREET ,NATICK,01760,MIDDLESEX,,,Y,_+42.288880_,_-071.363610_ ,05/31/94,,
_01_,MA,NAVAL WEAPONS INDUSTRIAL RESERVE PLANT,,_0102032_,MA6170023570,165 HARTWELL ROAD ,BEDFORD,01730,MIDDLESEX,,,Y,_+42.478880_,_-071.290270_ ,05/31/94,,
_01_,MA,NEW BEDFORD,,_0100743_,MAD980731335,ACUSHNET ESTUARY ,NEW BEDFORD,02740,BRISTOL,,,N,_+41.643170_,_-070.919880_ ,09/08/83,,
